src,dst,2017,2018,2019
Amazon Redshift,Amazon Echo,0,155,0
Amazon Redshift,Amazon RDS/Aurora,0,588,0
Amazon Redshift,Android,0,304,0
Amazon Redshift,Android Studio,0,201,0
Amazon Redshift,Angular/Angular.js,0,409,0
Amazon Redshift,Apple Watch or Apple TV,0,73,0
Amazon Redshift,Arduino,0,156,0
Amazon Redshift,Atom,0,367,0
Amazon Redshift,Azure,0,202,0
Amazon Redshift,BSD/Unix,0,7,0
Amazon Redshift,Coda,0,40,0
Amazon Redshift,Cordova,0,109,0
Amazon Redshift,Django,0,265,0
Amazon Redshift,Drupal,0,76,0
Amazon Redshift,ESP8266,0,51,0
Amazon Redshift,Eclipse,0,198,0
Amazon Redshift,Elasticsearch,0,580,0
Amazon Redshift,Emacs,0,143,0
Amazon Redshift,Firebase,0,193,0
Amazon Redshift,Gaming console,0,56,0
Amazon Redshift,Google BigQuery,0,218,0
Amazon Redshift,Google Cloud Platform/App Engine,0,240,0
Amazon Redshift,Google Cloud Storage,0,183,0
Amazon Redshift,Google Home,0,63,0
Amazon Redshift,Hadoop,0,271,0
Amazon Redshift,Heroku,0,245,0
Amazon Redshift,IBM Cloud or Watson,0,72,0
Amazon Redshift,IPython / Jupyter,0,303,0
Amazon Redshift,IntelliJ,0,569,0
Amazon Redshift,Komodo,0,41,0
Amazon Redshift,Light Table,0,32,0
Amazon Redshift,Linux,0,797,0
Amazon Redshift,Linux-based,0,344,0
Amazon Redshift,MacOS,0,1194,0
Amazon Redshift,Mainframe,0,41,0
Amazon Redshift,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",0,159,0
Amazon Redshift,Neo4j,0,127,0
Amazon Redshift,NetBeans,0,90,0
Amazon Redshift,Node.js,0,664,0
Amazon Redshift,Notepad++,0,283,0
Amazon Redshift,PHPStorm,0,139,0
Amazon Redshift,Predix,0,34,0
Amazon Redshift,PyCharm,0,328,0
Amazon Redshift,RStudio,0,154,0
Amazon Redshift,Raspberry Pi,0,261,0
Amazon Redshift,React,0,501,0
Amazon Redshift,RubyMine,0,83,0
Amazon Redshift,Salesforce,0,122,0
Amazon Redshift,Serverless,0,303,0
